generation,best_fitness,best_ever,mean_fitness,std_fitness,total_evals,time,sigma
0,-85.96799938600857,-85.96799938600857,-132.22754314850445,21.53523865368672,170,3.8934757709503174,0.02
1,-56.36092092890963,-56.36092092890963,-450.2269183043773,230.09237423189194,340,8.552057266235352,0.02
2,-67.17703803381298,-56.36092092890963,-377.3109144267941,300.47302752910645,510,13.043860673904419,0.020499999999999997
3,-100.52834438556398,-56.36092092890963,-244.26994159109424,232.8220264527326,680,17.59211039543152,0.021
4,-40.68458346094344,-40.68458346094344,-273.14487951656565,219.1804689729213,850,21.864301919937134,0.02
5,-40.26735688783289,-40.26735688783289,-201.5479085637996,201.6823156769022,1020,26.159242630004883,0.02
6,-63.013404550971885,-40.26735688783289,-161.5375982918906,73.85854896427988,1190,30.381464958190918,0.020499999999999997
7,-69.18560851532773,-40.26735688783289,-224.11075902341733,187.55496707394715,1360,35.025195598602295,0.021
8,-32.42362482818865,-32.42362482818865,-203.6030473538964,163.87819453766727,1530,39.376981258392334,0.02
9,-58.426267089149576,-32.42362482818865,-215.6157095467197,202.4187811627998,1700,43.76775026321411,0.020499999999999997
10,-57.013664169971754,-32.42362482818865,-215.5960859106329,220.30270463696814,1870,48.61511445045471,0.021
11,-30.315487192114972,-30.315487192114972,-192.82167567838076,195.78634852988387,2040,53.16791319847107,0.02
12,-24.78607521523265,-24.78607521523265,-193.8111662316482,163.8704551948979,2210,57.957173347473145,0.02
13,-77.47602594362114,-24.78607521523265,-172.02019052893797,121.82860603057885,2380,62.5342857837677,0.020499999999999997
14,-55.2684315286406,-24.78607521523265,-178.68954537724923,114.56894847546167,2550,67.15930461883545,0.021
15,-31.98478353499804,-24.78607521523265,-174.6975094588611,136.00118166235515,2720,71.49420118331909,0.0215
16,-22.093128430330786,-22.093128430330786,-174.88053557176497,136.9303068336939,2890,76.08901357650757,0.02
17,-46.34132200889739,-22.093128430330786,-187.97897589081316,179.57917624979936,3060,80.51643776893616,0.020499999999999997
18,-11.794293434361956,-11.794293434361956,-125.3894517652197,102.20732531779107,3230,85.51951742172241,0.02
19,-31.650884046864793,-11.794293434361956,-206.36033034076837,235.26925964897376,3400,90.50364089012146,0.020499999999999997
20,-7.05713945514032,-7.05713945514032,-121.46300400831102,106.43202183984292,3570,95.47582221031189,0.02
21,-26.96279954642584,-7.05713945514032,-149.7722357174162,216.54291817915498,3740,100.57058548927307,0.020499999999999997
22,-24.885745177764477,-7.05713945514032,-138.92874556301828,99.50765487296462,3910,105.46798753738403,0.021
23,-11.166466786519516,-7.05713945514032,-156.25459120739526,114.27048577216667,4080,110.53813743591309,0.0215
24,-43.922361618202274,-7.05713945514032,-200.74886295444256,208.0836016485631,4250,115.980153799057,0.022000000000000002
25,-26.730782876575574,-7.05713945514032,-160.81536375706662,163.0531414519756,4420,121.31825852394104,0.0225
26,-30.25279430174394,-7.05713945514032,-145.57258200171935,111.65878664728858,4590,126.48257970809937,0.023
27,-49.55819176817505,-7.05713945514032,-155.95108446471323,104.01090367184881,4760,131.48605847358704,0.0235
28,-50.14574496329694,-7.05713945514032,-167.4174144338419,140.27618138957249,4930,136.57974433898926,0.024
29,-44.14842196717361,-7.05713945514032,-140.52442521216074,112.80432742422089,5100,141.25238490104675,0.0245
30,-34.59356519840054,-7.05713945514032,-165.8661417517427,123.8372204100409,5270,146.43644857406616,0.025
31,-43.415143580579766,-7.05713945514032,-165.63241376838437,167.00516158286,5440,151.13119196891785,0.0255
32,-45.28554578760901,-7.05713945514032,-134.75062351466468,90.83669390341035,5610,156.13381814956665,0.026000000000000002
33,-43.12736765951132,-7.05713945514032,-141.79463725557366,91.54154960508772,5780,161.03743195533752,0.0265
34,-41.85182324014517,-7.05713945514032,-168.26617490787143,155.36945491182647,5950,166.01111936569214,0.027000000000000003
35,3.5731272559762117,3.5731272559762117,-161.48007626223745,128.8837602422439,6120,171.23684072494507,0.02
36,-46.45230757742745,3.5731272559762117,-133.64713786780524,72.8609429393632,6290,175.9441683292389,0.020499999999999997
37,-31.826126882500308,3.5731272559762117,-129.7787961291057,90.75483821404474,6460,180.68505215644836,0.021
38,-1.9951219074983964,3.5731272559762117,-104.61120771528853,52.7021663101345,6630,185.59711861610413,0.0215
39,-22.02493156811199,3.5731272559762117,-126.03202216483888,153.1975853648809,6800,190.9173140525818,0.022000000000000002
40,-19.34234937717707,3.5731272559762117,-143.4418628093003,143.70593336417826,6970,196.2500514984131,0.0225
41,11.673764648422047,11.673764648422047,-140.32444257828902,146.53894256743635,7140,201.74611139297485,0.02
42,-28.279782175013235,11.673764648422047,-145.08131634962103,111.85430957638177,7310,207.53815388679504,0.020499999999999997
43,-10.655852560299982,11.673764648422047,-153.4317132047248,132.5452275110068,7480,213.0101158618927,0.021
44,-45.011563157676456,11.673764648422047,-130.4752634855988,72.1550036093163,7650,218.1113622188568,0.0215
45,-59.607926291162975,11.673764648422047,-136.91545059805904,63.93938194108603,7820,222.9153687953949,0.022000000000000002
46,-23.52343114783993,11.673764648422047,-140.03257563708124,135.63007372669932,7990,227.64874982833862,0.0225
47,-35.92740535816669,11.673764648422047,-168.70741322687448,181.24482631490494,8160,232.83264994621277,0.023
48,-52.84476803769815,11.673764648422047,-194.91733544897454,173.28441358763027,8330,238.40031266212463,0.0235
49,-40.876721697458706,11.673764648422047,-215.1515788194327,322.55490756727676,8500,243.88843655586243,0.024
50,-41.014272088162585,11.673764648422047,-190.69572812246216,169.19788972442245,8670,249.05703711509705,0.0245
51,-10.141906347607781,11.673764648422047,-192.05002949111451,190.69487977471223,8840,254.71542596817017,0.025
52,-29.74870089285329,11.673764648422047,-159.40990342323113,137.09708813816076,9010,260.0612487792969,0.0255
53,-36.70552668680807,11.673764648422047,-150.7800182783829,98.9438458674647,9180,264.8933160305023,0.026000000000000002
54,-44.09259633884341,11.673764648422047,-175.24953018228308,189.89378997802234,9350,270.197847366333,0.0265
55,-43.98480304288478,11.673764648422047,-163.42946156300366,132.30363702991454,9520,275.6072494983673,0.027000000000000003
56,-41.08039781611444,11.673764648422047,-133.20540896314338,125.80640120752487,9690,280.62627243995667,0.0275
57,-46.70640764872561,11.673764648422047,-157.98104130100356,163.60095077308708,9860,285.80552864074707,0.027999999999999997
58,7.69036478124338,11.673764648422047,-124.25365372016046,93.9685466912545,10030,290.7377622127533,0.0285
59,33.02437568514565,33.02437568514565,-145.47453516737926,105.03763954092827,10200,295.98685455322266,0.02
60,-42.63983538628032,33.02437568514565,-153.6963549713172,105.35082575083332,10370,301.20165967941284,0.020499999999999997
61,-21.34658583098148,33.02437568514565,-146.1094685243513,143.4742294346216,10540,306.37234926223755,0.021
62,-27.113816561918657,33.02437568514565,-137.96879214165875,92.8837763919852,10710,311.5353717803955,0.0215
63,-37.713523813223,33.02437568514565,-126.72207506653365,77.91612304238801,10880,316.7219023704529,0.022000000000000002
64,-3.1258238592567382,33.02437568514565,-127.21965663607305,94.96908864691319,11050,322.214430809021,0.0225
65,-37.689525255595,33.02437568514565,-145.06401284264692,113.49250047310399,11220,327.66549730300903,0.023
66,-25.123795899736198,33.02437568514565,-107.9052429597446,77.79066046810303,11390,332.4743309020996,0.0235
67,-51.65006058678417,33.02437568514565,-156.6437769618656,133.7792804152057,11560,337.54769921302795,0.024
68,-19.075904316339308,33.02437568514565,-132.41759491262602,94.3642331178057,11730,342.5872404575348,0.0245
69,-47.77137325093478,33.02437568514565,-149.61152581152393,126.86459818246959,11900,347.91253638267517,0.025
70,-38.08972365517216,33.02437568514565,-169.96817313071188,135.87993968079454,12070,353.3496720790863,0.0255
71,-32.17287701519725,33.02437568514565,-126.50878054747558,134.54290010751285,12240,358.4894778728485,0.026000000000000002
72,-18.186913065063344,33.02437568514565,-139.85534672044326,130.92085090855298,12410,363.8759026527405,0.0265
73,-35.28769165591998,33.02437568514565,-169.29117357449584,174.8194635804969,12580,369.1237823963165,0.027000000000000003
74,-12.379173139153362,33.02437568514565,-142.31738995883643,135.2314076784064,12750,374.6517400741577,0.0275
75,22.46538332429898,33.02437568514565,-118.08501470831075,109.39381064252787,12920,380.5562918186188,0.027999999999999997
76,-24.94253413506875,33.02437568514565,-167.31629377804478,178.50455283213233,13090,386.3124647140503,0.0285
77,31.859005441276413,33.02437568514565,-129.99689178141824,121.2246297320916,13260,391.88962602615356,0.028999999999999998
78,47.41459167900773,47.41459167900773,-101.37878319813055,85.25266373001148,13430,397.26472306251526,0.02
79,4.3740435524182475,47.41459167900773,-80.9610866935131,54.9818642892428,13600,402.66645193099976,0.020499999999999997
